EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000002007,1,1,0,-50,1.14741762933846,156,0
000000000000000000002007,1,1,14153,-50,1.17196132194463,273,0
000000000000000000002007,1,1,23887,-50,1.14128170618692,156,0
000000000000000000002007,1,1,40310,-50,1.13514578303537,104,0
000000000000000000002007,1,1,52499,-50,1.15355355249,104,0
000000000000000000002007,1,1,61778,-50,1.15355355249,26,0
000000000000000000002007,1,1,75028,-50.5,1.19036909139926,403,0
000000000000000000002007,1,1,90530,-50,1.14741762933846,130,0
000000000000000000002007,1,1,101488,-50,1.16582539879309,221,0
000000000000000000002007,1,1,113199,-50,1.15355355249,156,0
000000000000000000002007,1,1,127524,-50,1.14128170618692,221,0
000000000000000000002007,1,1,142192,-50,1.15968947564155,221,0
000000000000000000002007,1,1,153883,-50,1.13514578303537,130,0
000000000000000000002007,1,1,164949,-50,1.15968947564155,182,0
000000000000000000002007,1,1,180751,-50.5,1.15355355249,273,0
000000000000000000002007,1,1,193608,-50.5,1.16582539879309,325,0
000000000000000000002007,1,1,205511,-50,1.17196132194463,247,0
000000000000000000002007,1,1,215884,-50,1.12900985988383,130,0
000000000000000000002007,1,1,229391,-50.5,1.13514578303537,130,0
000000000000000000002007,1,1,242128,-50.5,1.14128170618692,182,0
000000000000000000002007,1,1,256951,-50,1.12287393673229,104,0
000000000000000000002007,1,1,269477,-50.5,1.15968947564155,247,0
000000000000000000002007,1,1,283337,-50,1.13514578303537,78,0
000000000000000000002007,1,1,295054,-50,1.15968947564155,247,0
000000000000000000002007,1,1,305254,-50,1.14128170618692,104,0
000000000000000000002007,1,1,320062,-50,1.13514578303537,247,0
000000000000000000002007,1,1,335201,-50,1.15968947564155,221,0
000000000000000000002007,1,1,345313,-50.5,1.14128170618692,130,0
000000000000000000002007,1,1,360690,-50,1.12900985988383,78,0
000000000000000000002007,1,1,373775,-50,1.1106020904292,78,0
000000000000000000002007,1,1,386812,-50,1.13514578303537,156,0
000000000000000000002007,1,1,397611,-50,1.15968947564155,247,0
000000000000000000002007,1,1,408326,-50,1.16582539879309,221,0
000000000000000000002007,1,1,424092,-50,1.12900985988383,78,0
000000000000000000002007,1,1,436976,-50.5,1.15968947564155,299,0
000000000000000000002007,1,1,448524,-50,1.13514578303537,104,0
000000000000000000002007,1,1,460397,-50,1.14741762933846,182,0
000000000000000000002007,1,1,474364,-50.5,1.14741762933846,273,0
000000000000000000002007,1,1,486641,-50.5,1.15355355249,182,0
000000000000000000002007,1,1,501934,-50.5,1.17809724509617,299,0
000000000000000000002007,1,1,516488,-50,1.16582539879309,221,0
000000000000000000002007,1,1,525903,-50.5,1.16582539879309,221,0
000000000000000000002007,1,1,541661,-50.5,1.15968947564155,182,0
000000000000000000002007,1,1,553428,-50,1.14128170618692,182,0
000000000000000000002007,1,1,566252,-50.5,1.08605839782303,-78,0
000000000000000000002007,1,1,578044,-50,1.11673801358075,26,0
000000000000000000002007,1,1,590969,-50.5,1.13514578303537,156,0
000000000000000000002007,1,1,605085,-50.5,1.13514578303537,156,0
000000000000000000002007,1,1,616479,-50.5,1.12900985988383,156,0
000000000000000000002007,1,1,630577,-50,1.15968947564155,247,0
000000000000000000002007,1,1,644480,-50,1.12287393673229,156,0
000000000000000000002007,1,1,653241,-50,1.12287393673229,156,0
000000000000000000002007,1,1,667343,-50,1.12900985988383,156,0
000000000000000000002007,1,1,681785,-50.5,1.18423316824772,403,0
000000000000000000002007,1,1,695434,-50.5,1.18423316824772,299,0
000000000000000000002007,1,1,708930,-50.5,1.14741762933846,221,0
000000000000000000002007,1,1,721897,-50,1.16582539879309,221,0
000000000000000000002007,1,1,734442,-50,1.15355355249,273,0
000000000000000000002007,1,1,746815,-50,1.16582539879309,403,0
000000000000000000002007,1,1,757759,-50,1.09833024412612,0,0
000000000000000000002007,1,1,772333,-50.5,1.15355355249,247,0
000000000000000000002007,1,1,782458,-50.5,1.15355355249,221,0
000000000000000000002007,1,1,799355,-50,1.16582539879309,325,0
000000000000000000002007,1,1,807506,-50,1.1106020904292,78,0
000000000000000000002007,1,1,820245,-50,1.16582539879309,273,0
000000000000000000002007,1,1,837315,-50,1.14741762933846,299,0
000000000000000000002007,1,1,847885,-50,1.11673801358075,78,0
000000000000000000002007,1,1,863051,-50.5,1.13514578303537,130,0
000000000000000000002007,1,1,874769,-50.5,1.12900985988383,221,0
000000000000000000002007,1,1,886816,-50,1.16582539879309,273,0
000000000000000000002007,1,1,898043,-50,1.12900985988383,221,0
000000000000000000002007,1,1,910345,-50,1.12900985988383,104,0
000000000000000000002007,1,1,925765,-50,1.13514578303537,221,0
000000000000000000002007,1,1,938573,-50,1.15355355249,325,0
000000000000000000002007,1,1,951617,-50.5,1.15968947564155,273,0
000000000000000000002007,1,1,962198,-50,1.14741762933846,247,0
000000000000000000002007,1,1,977139,-50,1.13514578303537,156,0
000000000000000000002007,1,1,987113,-50.5,1.15968947564155,273,0
000000000000000000002007,1,1,1003737,-50,1.16582539879309,351,0
000000000000000000002007,1,1,1014585,-50,1.15355355249,182,0
000000000000000000002007,1,1,1028475,-50.5,1.15968947564155,273,0
000000000000000000002007,1,1,1043506,-50.5,1.12900985988383,182,0
000000000000000000002007,1,1,1055692,-50,1.14741762933846,221,0
000000000000000000002007,1,1,1066507,-50,1.15968947564155,351,0
000000000000000000002007,1,1,1079534,-50,1.15355355249,247,0
000000000000000000002007,1,1,1090822,-50,1.14128170618692,156,0
000000000000000000002007,1,1,1106716,-50,1.11673801358075,78,0
000000000000000000002007,1,1,1119467,-50.5,1.1106020904292,130,0
000000000000000000002007,1,1,1132576,-50.5,1.13514578303537,182,0
000000000000000000002007,1,1,1142262,-50,1.15968947564155,247,0
000000000000000000002007,1,1,1157253,-50.5,1.16582539879309,351,0
000000000000000000002007,1,1,1170758,-50,1.14128170618692,156,0
000000000000000000002007,1,1,1184080,-50.5,1.12287393673229,52,0
000000000000000000002007,1,1,1197134,-50.5,1.11673801358075,26,0
000000000000000000002007,1,1,1208766,-50,1.13514578303537,182,0
000000000000000000002007,1,1,1218865,-50.5,1.14741762933846,182,0
000000000000000000002007,1,1,1235379,-50.5,1.14128170618692,247,0
