EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000002007,1,1,0,-51,0.423378697456437,-182,0
000000000000000000002007,1,1,17258,-51,0.460194236365693,-104,0
000000000000000000002007,1,1,25966,-51,0.497009775274948,104,0
000000000000000000002007,1,1,41807,-51,0.47860200582032,130,0
000000000000000000002007,1,1,53957,-51,0.515417544729575,104,0
000000000000000000002007,1,1,67813,-51.5,0.429514620607979,-130,0
000000000000000000002007,1,1,77091,-51.5,0.47860200582032,26,0
000000000000000000002007,1,1,94347,-51.5,0.47860200582032,104,0
000000000000000000002007,1,1,106742,-51.5,0.515417544729575,156,0
000000000000000000002007,1,1,115509,-51,0.497009775274948,247,0
000000000000000000002007,1,1,131302,-51.5,0.466330159517235,78,0
000000000000000000002007,1,1,141577,-51.5,0.47860200582032,0,0
000000000000000000002007,1,1,158471,-51.5,0.497009775274948,156,0
000000000000000000002007,1,1,171315,-51,0.472466082668777,78,0
000000000000000000002007,1,1,183958,-51.5,0.447922390062607,0,0
000000000000000000002007,1,1,196192,-51.5,0.466330159517235,78,0
000000000000000000002007,1,1,206855,-51.5,0.509281621578033,351,0
000000000000000000002007,1,1,219975,-51.5,0.441786466911065,26,0
000000000000000000002007,1,1,235007,-51.5,0.484737928971863,104,0
000000000000000000002007,1,1,247288,-51,0.509281621578033,325,0
000000000000000000002007,1,1,258648,-51.5,0.441786466911065,78,0
000000000000000000002007,1,1,274348,-51.5,0.490873852123405,156,0
000000000000000000002007,1,1,285372,-51.5,0.47860200582032,156,0
000000000000000000002007,1,1,297201,-51,0.490873852123405,221,0
000000000000000000002007,1,1,313349,-51.5,0.460194236365693,52,0
000000000000000000002007,1,1,324561,-51,0.466330159517235,26,0
000000000000000000002007,1,1,337100,-51.5,0.466330159517235,104,0
000000000000000000002007,1,1,350331,-51.5,0.466330159517235,78,0
000000000000000000002007,1,1,363739,-51,0.50314569842649,221,0
000000000000000000002007,1,1,377711,-51.5,0.460194236365693,26,0
000000000000000000002007,1,1,388559,-51.5,0.45405831321415,52,0
000000000000000000002007,1,1,401288,-51,0.490873852123405,130,0
000000000000000000002007,1,1,415447,-51,0.47860200582032,104,0
000000000000000000002007,1,1,427602,-51,0.423378697456437,78,0
000000000000000000002007,1,1,441061,-51.5,0.484737928971863,130,0
000000000000000000002007,1,1,454977,-51.5,0.398835004850267,-104,0
000000000000000000002007,1,1,468357,-51.5,0.472466082668777,130,0
000000000000000000002007,1,1,480872,-51.5,0.472466082668777,156,0
000000000000000000002007,1,1,494175,-51.5,0.484737928971863,299,0
000000000000000000002007,1,1,504836,-51,0.490873852123405,221,0
000000000000000000002007,1,1,517351,-51,0.47860200582032,156,0
000000000000000000002007,1,1,533456,-51.5,0.47860200582032,52,0
000000000000000000002007,1,1,541621,-51.5,0.466330159517235,78,0
000000000000000000002007,1,1,559330,-51.5,0.509281621578033,182,0
000000000000000000002007,1,1,571247,-51,0.472466082668777,130,0
000000000000000000002007,1,1,583632,-51.5,0.472466082668777,78,0
000000000000000000002007,1,1,597339,-51.5,0.472466082668777,78,0
000000000000000000002007,1,1,606813,-51,0.441786466911065,26,0
000000000000000000002007,1,1,621187,-51.5,0.435650543759522,-26,0
000000000000000000002007,1,1,631615,-51,0.50314569842649,377,0
000000000000000000002007,1,1,644890,-51.5,0.47860200582032,182,0
000000000000000000002007,1,1,660983,-51.5,0.429514620607979,-26,0
000000000000000000002007,1,1,673189,-51.5,0.45405831321415,26,0
000000000000000000002007,1,1,684707,-51.5,0.441786466911065,156,0
000000000000000000002007,1,1,698012,-51.5,0.472466082668777,156,0
000000000000000000002007,1,1,712062,-51.5,0.423378697456437,-52,0
000000000000000000002007,1,1,725420,-51.5,0.447922390062607,130,0
000000000000000000002007,1,1,737530,-51.5,0.441786466911065,26,0
000000000000000000002007,1,1,751451,-51.5,0.509281621578033,351,0
000000000000000000002007,1,1,760720,-51.5,0.484737928971863,221,0
000000000000000000002007,1,1,776222,-51,0.435650543759522,-52,0
000000000000000000002007,1,1,786095,-51.5,0.460194236365693,130,0
000000000000000000002007,1,1,801442,-51.5,0.45405831321415,52,0
000000000000000000002007,1,1,813837,-51.5,0.460194236365693,104,0
000000000000000000002007,1,1,828431,-51.5,0.521553467881118,299,0
000000000000000000002007,1,1,838391,-51.5,0.47860200582032,221,0
000000000000000000002007,1,1,853641,-51,0.435650543759522,78,0
000000000000000000002007,1,1,865629,-51.5,0.460194236365693,182,0
000000000000000000002007,1,1,880422,-51.5,0.447922390062607,26,0
000000000000000000002007,1,1,889900,-51.5,0.521553467881118,351,0
000000000000000000002007,1,1,903963,-51.5,0.509281621578033,325,0
000000000000000000002007,1,1,917860,-51,0.429514620607979,0,0
000000000000000000002007,1,1,929498,-51.5,0.460194236365693,78,0
000000000000000000002007,1,1,943738,-51.5,0.435650543759522,0,0
000000000000000000002007,1,1,957029,-51.5,0.490873852123405,156,0
000000000000000000002007,1,1,967586,-51.5,0.45405831321415,78,0
000000000000000000002007,1,1,980908,-51.5,0.497009775274948,130,0
000000000000000000002007,1,1,995949,-51.5,0.386563158547181,-221,0
