EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000002007,1,1,0,-60,5.30757352608432,651,0
000000000000000000002007,1,1,13093,-60,5.28916575662969,559,0
000000000000000000002007,1,1,26817,-60.5,5.19712690935655,-52,0
000000000000000000002007,1,1,38789,-60,5.21553467881118,247,0
000000000000000000002007,1,1,52061,-60,5.27075798717506,299,0
000000000000000000002007,1,1,61553,-60.5,5.35666091129666,351,0
000000000000000000002007,1,1,77435,-61,5.22780652511427,507,0
000000000000000000002007,1,1,88967,-60.5,5.27689391032661,455,0
000000000000000000002007,1,1,104108,-61.5,5.28302983347815,52,0
000000000000000000002007,1,1,112035,-61,5.26462206402352,377,0
000000000000000000002007,1,1,129312,-61,5.25235021772044,273,0
000000000000000000002007,1,1,138344,-60,5.21553467881118,-104,0
000000000000000000002007,1,1,154589,-60.5,5.32598129553895,677,0
000000000000000000002007,1,1,167598,-59.5,5.26462206402352,221,0
000000000000000000002007,1,1,179496,-60,5.30757352608432,429,0
000000000000000000002007,1,1,192998,-60,5.33211721869049,624,0
000000000000000000002007,1,1,203671,-60.5,5.24621429456889,130,0
000000000000000000002007,1,1,218273,-60,5.25848614087198,182,0
000000000000000000002007,1,1,229529,-59,5.33825314184203,585,0
000000000000000000002007,1,1,245410,-61,5.31370944923586,351,0
000000000000000000002007,1,1,253761,-60.5,5.29530167978123,299,0
000000000000000000002007,1,1,270525,-60.5,5.24007837141735,247,0
000000000000000000002007,1,1,279051,-60,5.30757352608432,507,0
000000000000000000002007,1,1,294762,-60,5.12963175468958,-104,0
000000000000000000002007,1,1,309237,-60.5,5.18485506305347,-156,0
000000000000000000002007,1,1,320388,-60.5,5.31370944923586,429,0
000000000000000000002007,1,1,335527,-59.5,5.30757352608432,507,0
000000000000000000002007,1,1,348523,-59.5,5.25848614087198,247,0
000000000000000000002007,1,1,361114,-61,5.25235021772044,221,0
000000000000000000002007,1,1,372185,-60,5.25848614087198,377,0
000000000000000000002007,1,1,384737,-60.5,5.22780652511427,130,0
000000000000000000002007,1,1,397535,-60.5,5.28302983347815,651,0
000000000000000000002007,1,1,411844,-61,5.25235021772044,130,0
000000000000000000002007,1,1,423770,-60,5.22780652511427,182,0
000000000000000000002007,1,1,436281,-61,5.26462206402352,130,0
000000000000000000002007,1,1,449996,-61,5.27689391032661,481,0
000000000000000000002007,1,1,463836,-61,5.25848614087198,52,0
000000000000000000002007,1,1,476364,-61,5.24007837141735,26,0
000000000000000000002007,1,1,489105,-61.5,5.2032628325081,78,0
000000000000000000002007,1,1,500531,-60,5.31370944923586,911,0
000000000000000000002007,1,1,513877,-60.5,5.17258321675038,104,0
000000000000000000002007,1,1,528474,-60,5.25848614087198,429,0
000000000000000000002007,1,1,539780,-60,5.35666091129666,729,0
000000000000000000002007,1,1,552132,-60,5.24621429456889,299,0
000000000000000000002007,1,1,567599,-60,5.32598129553895,403,0
000000000000000000002007,1,1,579559,-60.5,5.405748296509,729,0
000000000000000000002007,1,1,589912,-61,5.24007837141735,0,0
000000000000000000002007,1,1,604032,-61.5,5.23394244826581,221,0
000000000000000000002007,1,1,618717,-60.5,5.3198453723874,533,0
000000000000000000002007,1,1,627483,-60.5,5.27689391032661,455,0
000000000000000000002007,1,1,640232,-61.5,5.26462206402352,299,0
000000000000000000002007,1,1,654784,-61.5,5.37506868075129,677,0
000000000000000000002007,1,1,668911,-60.5,5.25235021772044,104,0
000000000000000000002007,1,1,682773,-61.5,5.14190360099267,-104,0
000000000000000000002007,1,1,695490,-61,5.36893275759974,677,0
000000000000000000002007,1,1,706808,-60.5,5.25235021772044,156,0
000000000000000000002007,1,1,718783,-60,5.2032628325081,52,0
000000000000000000002007,1,1,733159,-61,5.25848614087198,403,0
000000000000000000002007,1,1,745308,-60,5.25848614087198,182,0
000000000000000000002007,1,1,757849,-61,5.31370944923586,429,0
000000000000000000002007,1,1,770393,-60.5,5.26462206402352,481,0
000000000000000000002007,1,1,784968,-61,5.22780652511427,52,0
000000000000000000002007,1,1,797273,-60.5,5.22167060196272,221,0
000000000000000000002007,1,1,811406,-60.5,5.12349583153804,-481,0
000000000000000000002007,1,1,824891,-60.5,5.27689391032661,455,0
000000000000000000002007,1,1,838307,-61,5.21553467881118,26,0
000000000000000000002007,1,1,850028,-60,5.26462206402352,221,0
000000000000000000002007,1,1,862184,-60.5,5.26462206402352,651,0
000000000000000000002007,1,1,876638,-60.5,5.25235021772044,0,0
000000000000000000002007,1,1,888808,-60,5.18485506305347,26,0
000000000000000000002007,1,1,902712,-60.5,5.16644729359884,52,0
000000000000000000002007,1,1,911464,-61,5.28302983347815,351,0
000000000000000000002007,1,1,926810,-61,5.28916575662969,247,0
000000000000000000002007,1,1,939943,-60.5,5.18485506305347,104,0
000000000000000000002007,1,1,953316,-61,5.36893275759974,885,0
000000000000000000002007,1,1,967004,-61,5.21553467881118,26,0
000000000000000000002007,1,1,977348,-60.5,5.22780652511427,-26,0
000000000000000000002007,1,1,992260,-61,5.22780652511427,78,0
000000000000000000002007,1,1,1001495,-61,5.25848614087198,299,0
000000000000000000002007,1,1,1017250,-61,5.25848614087198,78,0
000000000000000000002007,1,1,1030265,-60.5,5.17258321675038,-52,0
000000000000000000002007,1,1,1043662,-60.5,5.22780652511427,130,0
000000000000000000002007,1,1,1057007,-60,5.1603113704473,0,0
000000000000000000002007,1,1,1068973,-60.5,5.20939875565964,26,0
000000000000000000002007,1,1,1081142,-60.5,5.18485506305347,-807,0
000000000000000000002007,1,1,1096226,-60.5,5.2032628325081,351,0
000000000000000000002007,1,1,1104363,-61,5.28302983347815,247,0
000000000000000000002007,1,1,1120598,-60.5,5.24007837141735,299,0
000000000000000000002007,1,1,1134815,-60.5,5.22167060196272,156,0
000000000000000000002007,1,1,1145846,-60,5.23394244826581,729,0
000000000000000000002007,1,1,1159314,-61,5.24007837141735,533,0
000000000000000000002007,1,1,1172446,-60.5,5.30143760293278,377,0
000000000000000000002007,1,1,1185443,-61.5,5.12349583153804,-507,0
000000000000000000002007,1,1,1196586,-61,5.24007837141735,52,0
000000000000000000002007,1,1,1210685,-61,5.22167060196272,26,0
000000000000000000002007,1,1,1224588,-60.5,5.17258321675038,-273,0
000000000000000000002007,1,1,1234970,-60,5.20939875565964,130,0
000000000000000000002007,1,1,1250842,-60,5.19099098620501,377,0
000000000000000000002007,1,1,1263232,-61,5.33211721869049,624,0
000000000000000000002007,1,1,1274955,-60.5,5.23394244826581,156,0
000000000000000000002007,1,1,1287135,-60.5,5.23394244826581,182,0
000000000000000000002007,1,1,1298987,-60.5,5.16644729359884,-247,0
000000000000000000002007,1,1,1312283,-61,5.33211721869049,455,0
000000000000000000002007,1,1,1327512,-61,5.30757352608432,455,0
000000000000000000002007,1,1,1340952,-61,5.20939875565964,182,0
000000000000000000002007,1,1,1352001,-60.5,5.17258321675038,-156,0
000000000000000000002007,1,1,1364111,-60,5.28916575662969,429,0
000000000000000000002007,1,1,1377656,-60,5.24007837141735,247,0
000000000000000000002007,1,1,1389839,-60,5.34438906499357,559,0
000000000000000000002007,1,1,1404068,-61.5,5.30757352608432,377,0
000000000000000000002007,1,1,1417316,-60.5,5.27075798717506,325,0
000000000000000000002007,1,1,1427949,-60.5,5.29530167978123,429,0
000000000000000000002007,1,1,1441823,-61,5.27075798717506,377,0
000000000000000000002007,1,1,1456794,-61.5,5.27075798717506,182,0
000000000000000000002007,1,1,1467387,-61,5.26462206402352,104,0
000000000000000000002007,1,1,1478822,-61,5.34438906499357,455,0
000000000000000000002007,1,1,1494504,-61,5.27689391032661,403,0
000000000000000000002007,1,1,1506421,-60,5.14190360099267,-247,0
000000000000000000002007,1,1,1519746,-60.5,5.34438906499357,455,0
000000000000000000002007,1,1,1531919,-60.5,5.39347645020591,729,0
000000000000000000002007,1,1,1544191,-60,5.30757352608432,273,0
000000000000000000002007,1,1,1571460,-60.5,5.25235021772044,156,0
000000000000000000002007,1,1,1585890,-61,5.22167060196272,273,0
000000000000000000002007,1,1,1593589,-61,5.23394244826581,-26,0
000000000000000000002007,1,1,1611423,-61,5.29530167978123,507,0
000000000000000000002007,1,1,1623666,-60,5.17871913990192,0,0
000000000000000000002007,1,1,1637391,-60.5,5.34438906499357,807,0
000000000000000000002007,1,1,1647681,-60.5,5.37506868075129,781,0
000000000000000000002007,1,1,1659576,-60.5,5.23394244826581,325,0
000000000000000000002007,1,1,1676328,-60.5,5.25848614087198,273,0
000000000000000000002007,1,1,1686629,-61,5.27689391032661,104,0
000000000000000000002007,1,1,1700335,-61,5.27689391032661,299,0
000000000000000000002007,1,1,1713853,-61,5.3198453723874,481,0
000000000000000000002007,1,1,1725882,-60.5,5.28916575662969,377,0
000000000000000000002007,1,1,1739826,-60.5,5.19712690935655,-299,0
000000000000000000002007,1,1,1751778,-60.5,5.27689391032661,130,0
000000000000000000002007,1,1,1763719,-61,5.25848614087198,78,0
000000000000000000002007,1,1,1778851,-60,5.21553467881118,299,0
000000000000000000002007,1,1,1791086,-61,5.14803952414421,-325,0
000000000000000000002007,1,1,1802577,-61,5.22780652511427,78,0
000000000000000000002007,1,1,1816436,-61.5,5.24621429456889,299,0
000000000000000000002007,1,1,1827334,-61,5.27689391032661,52,0
000000000000000000002007,1,1,1842806,-60,5.19712690935655,-52,0
000000000000000000002007,1,1,1855603,-60.5,5.33825314184203,481,0
000000000000000000002007,1,1,1866048,-60.5,5.3627968344482,651,0
000000000000000000002007,1,1,1881616,-61,5.34438906499357,455,0
000000000000000000002007,1,1,1902888,-61.5,5.22780652511427,-52,0
000000000000000000002007,1,1,1915943,-60.5,5.19099098620501,-221,0
000000000000000000002007,1,1,1925221,-60,5.30757352608432,377,0
000000000000000000002007,1,1,1939887,-61.5,5.26462206402352,221,0
000000000000000000002007,1,1,1954638,-60,5.27689391032661,299,0
000000000000000000002007,1,1,1964074,-60.5,5.26462206402352,299,0
000000000000000000002007,1,1,1979937,-61,5.27689391032661,507,0
000000000000000000002007,1,1,1991291,-60,5.26462206402352,104,0
000000000000000000002007,1,1,2004174,-61,5.24007837141735,26,0
000000000000000000002007,1,1,2016246,-60,5.21553467881118,-156,0
000000000000000000002007,1,1,2031117,-62,5.36893275759974,507,0
000000000000000000002007,1,1,2041258,-61,5.25848614087198,104,0
000000000000000000002007,1,1,2053841,-60.5,5.19099098620501,-78,0
000000000000000000002007,1,1,2070091,-61,5.30757352608432,351,0
000000000000000000002007,1,1,2079563,-61,5.25235021772044,156,0
000000000000000000002007,1,1,2093965,-60.5,5.27689391032661,429,0
000000000000000000002007,1,1,2106287,-60.5,5.16644729359884,-182,0
000000000000000000002007,1,1,2120632,-61.5,5.30757352608432,351,0
000000000000000000002007,1,1,2132931,-60.5,5.35052498814512,559,0
000000000000000000002007,1,1,2147438,-61,5.3198453723874,351,0
000000000000000000002007,1,1,2160025,-61,5.30757352608432,481,0
000000000000000000002007,1,1,2173945,-61,5.25848614087198,377,0
000000000000000000002007,1,1,2181899,-61,5.32598129553895,351,0
000000000000000000002007,1,1,2198900,-61,5.21553467881118,-273,0
000000000000000000002007,1,1,2212885,-61,5.21553467881118,-104,0
000000000000000000002007,1,1,2225517,-60,5.22780652511427,182,0
000000000000000000002007,1,1,2235964,-61,5.22780652511427,403,0
